"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Acantholithodes hispidus","(Stimpson, 1860)","","hairy-spined crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","",,"Acantholithodes","hispidus",,"",,"native","unlisted","","1994-09-10","Andy Lamb","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,31,"confirmed","observed","",450310,"VAS"
"Ampelisca hancocki","J.L. Barnard, 1954","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Gammaridea","Ampeliscoidea","Ampeliscidae","",,"Ampelisca","hancocki",,"",,"native","unlisted","","1961-06-22","","RBCM","976-01146-018",,"1961-06-22","","RBCM","976-01146-018",,1,"reported","unobserved","",295404,"VAS"
"Ampelisca lobata","Holmes, 1908","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","",,"Ampelisca","lobata",,"",,"native","unlisted","","1961-06-22","","RBCM","976-01146-017",,"1961-06-22","","RBCM","976-01146-017",,1,"reported","unobserved","",295407,"VAS"
"Ampelisca unsocalae","J.L. Barnard, 1960","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","",,"Ampelisca","unsocalae",,"",,"native","unlisted","","1961-06-22","","RBCM","976-01146-019",,"1961-06-22","","RBCM","976-01146-019",,1,"reported","unobserved","",313004,"VAS"
"Ampithoe lacertosa","Bate, 1858","","sea lettuce sea flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Corophioidea","Ampithoidae","",,"Ampithoe","lacertosa",,"",,"native","unlisted","","2009-02-14","Andy Lamb","PMLS","",,"2009-02-14","Andy Lamb","PMLS","",,1,"reported","unobserved","",260501,"VAS"
"Argulus pugettensis","Dana, 1853","","surfperch fish louse","Animalia","Arthropoda","Crustacea","Oligostraca","Ichthyostraca","Branchiura","","Arguloida","","","Argulidae","",,"Argulus","pugettensis",,"",,"native","unlisted","","2007-09-29","Andy Lamb","PMLS","",,"2012-08-09","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",873865,"VAS"
"Balanus crenatus","Bruguière, 1789","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","",,"Balanus","crenatus",,"",,"native","unlisted","","2019-01-25","","iNaturalist","",,"2019-01-25","","iNaturalist","",,1,"new 2019","observed","",117672,"VAS"
"Balanus glandula","Darwin, 1854","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","",,"Balanus","glandula",,"",,"native","unlisted","","1969-02-22","Andy Lamb","PMLS","",,"2020-08-15","Andrew Simon","iNaturalist","",,104,"confirmed","observed","",81610,"VAS"
"Balanus nubilus","Darwin, 1854","","giant acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","",,"Balanus","nubilus",,"",,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",,"2021-12-16","Andrew Simon","iNaturalist","",,199,"confirmed","observed","",49127,"VAS"
"Balanus rostratus","Hoek, 1883","","large acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","","Sessilia","Balanomorpha","Balanoidea","Balanidae","",,"Balanus","rostratus",,"",,"native","unlisted","","1986-09-30","","RBCM","986-00197-026",,"1986-09-30","","RBCM","986-00197-026",,1,"reported","unobserved","",782656,"VAS"
